,,,,,perplexity,trainTime
GRU,512,2,False,150,1.0154904056972653,1.2063148021697998
GRU,512,2,False,200,1.0151592487976875,1.2133491039276123
GRU,512,2,False,250,1.0198999941579774,1.2158889770507812
GRU,512,3,True,50,1.0467468417325023,1.2107343673706055
GRU,512,3,True,100,1.0275985434084298,1.2108089923858643
GRU,512,3,True,150,1.0196895799754506,1.2098300457000732
GRU,512,3,True,200,1.0178270969525904,1.2094905376434326
GRU,512,3,True,250,1.018627592111231,1.2158238887786865
GRU,512,3,False,50,1.044402251556058,1.2145769596099854
GRU,512,3,False,100,1.0265367982610143,1.2188589572906494
GRU,512,3,False,150,1.0231337927141864,1.2137510776519775
GRU,512,3,False,200,1.018139461843383,1.2117328643798828
GRU,512,3,False,250,1.0137971374131372,1.2137832641601562
LSTM,64,1,True,50,75.09329276940582,0.5508341789245605
LSTM,64,1,True,100,13.846311116680734,0.5465407371520996
LSTM,64,1,True,150,5.550989700785903,0.5495293140411377
LSTM,64,1,True,200,3.1664162397604088,0.5479745864868164
LSTM,64,1,True,250,2.2404512267950016,0.5471618175506592
LSTM,64,1,False,50,51.813468768636035,0.5416340827941895
LSTM,64,1,False,100,8.27384304508506,0.5474808216094971
LSTM,64,1,False,150,3.4715532049891893,0.5495302677154541
LSTM,64,1,False,200,2.188641592629208,0.5485844612121582
LSTM,64,1,False,250,1.679476548753287,0.546769380569458
LSTM,64,2,True,50,63.20125763795731,0.5475029945373535
LSTM,64,2,True,100,11.722912084991984,0.56390380859375
LSTM,64,2,True,150,4.643977266469704,0.5503525733947754
LSTM,64,2,True,200,2.7709448189894057,0.5461692810058594
LSTM,64,2,True,250,2.063126721287856,0.5568928718566895
LSTM,64,2,False,50,50.93112805747055,0.5531063079833984
LSTM,64,2,False,100,8.86751770916089,0.5530240535736084
LSTM,64,2,False,150,3.9833538097330847,0.5495264530181885
LSTM,64,2,False,200,2.4556232687152604,0.5458827018737793
